School Name,State,Classification,StudentBody,SEVASize
Addison,AL,1A,322,400
Alabama School for the Deaf,AL,1A,,400
Appalachian,AL,1A,636,400
Athens Bible,AL,1A,330,400
Autaugaville,AL,1A,328,400
Belgreen,AL,1A,452,400
Berry,AL,1A,269,400
Brantley,AL,1A,,400
Brilliant,AL,1A,151,400
Cedar Bluff,AL,1A,,400
Cherokee,AL,1A,,400
Coosa Christian,AL,1A,,400
Cornerstone,AL,1A,,400
Covenant Christian,AL,1A,,400
Decatur Heritage Christian Academy,AL,1A,,400
Donoho,AL,1A,,400
Ellwood Christian,AL,1A,,400
Faith Christian,AL,1A,,400
Florala,AL,1A,219,400
Fruitdale,AL,1A,,400
Gaylesville,AL,1A,,400
Georgiana,AL,1A,,400
Hackleburg,AL,1A,,400
Highland Home,AL,1A,,400
Holy Spirit Catholic,AL,1A,,400
Houston County,AL,1A,,400
Hubbertville,AL,1A,,400
Isabella,AL,1A,,400
Jacksonville Christian Academy,AL,1A,,400
Jefferson Christian Academy,AL,1A,,400
Johnson,AL,1A,,400
Kinston,AL,1A,,400
Linden,AL,1A,,400
Lindsay Lane Christian Academy,AL,1A,,400
Loachapoka,AL,1A,,400
Lynn,AL,1A,,400
Maplesville,AL,1A,,400
Marengo,AL,1A,,400
Marion County,AL,1A,,400
McIntosh,AL,1A,,400
McKenzie,AL,1A,,400
Meek,AL,1A,,400
Millry,AL,1A,,400
Notasulga,AL,1A,,400
Paint Rock Valley,AL,1A,,400
Phillips,AL,1A,,400
Pickens County,AL,1A,,400
Pleasant Home,AL,1A,,400
R.A. Hubbard,AL,1A,,400
Ragland,AL,1A,,400
Red Level,AL,1A,,400
Sacred Heart Catholic,AL,1A,,400
Shades Mountain Christian,AL,1A,,400
Shields,AL,1A,,400
Shoals Christian,AL,1A,,400
Skyline,AL,1A,,400
South Lamar,AL,1A,,400
Southeastern,AL,1A,,400
Spring Garden,AL,1A,,400
Sumiton Christian,AL,1A,,400
Sweet Water,AL,1A,,400
Talladega County Central,AL,1A,,400
Tharptown,AL,1A,,400
Valley Head,AL,1A,,400
Victory Christian,AL,1A,,400
Vina,AL,1A,,400
Wadley,AL,1A,,400
Waterloo,AL,1A,,400
Westminster School at Oak Mountain,AL,1A,,400
Whitesburg Christian Academy,AL,1A,,400
Winterboro,AL,1A,,400
Woodville,AL,1A,,400
Abbeville,AL,2A,444,500
Aliceville,AL,2A,293,500
Altamont,AL,2A,364,500
Ariton,AL,2A,698,500
Asbury,AL,2A,514,500
Barbour County,AL,2A,215,500
Billingsley,AL,2A,658,500
Blacksher,AL,2A,657,500
Calhoun,AL,2A,258,500
Central,AL,2A,347,500
Chickasaw,AL,2A,,500
Choctaw County,AL,2A,,500
Cleveland,AL,2A,,500
Cold Springs,AL,2A,,500
Collinsville,AL,2A,,500
Cottonwood,AL,2A,,500
Elba,AL,2A,,500
Falkville,AL,2A,,500
Fayetteville,AL,2A,,500
Fyffe,AL,2A,,500
Gaston,AL,2A,,500
Geneva County,AL,2A,,500
Goshen,AL,2A,,500
Hatch,AL,2A,,500
Hatton,AL,2A,,500
Horseshoe Bend,AL,2A,,500
Ider,AL,2A,,500
Keith,AL,2A,,500
LaFayette,AL,2A,,500
Lamar County,AL,2A,,500
Lanett,AL,2A,,500
Leroy,AL,2A,,500
Long,AL,2A,,500
Luverne,AL,2A,,500
Marion,AL,2A,,500
Mars Hill Bible,AL,2A,,500
New Brockton,AL,2A,,500
Phil Campbell,AL,2A,,500
Ranburne,AL,2A,,500
Red Bay,AL,2A,,500
Reeltown,AL,2A,,500
Samson,AL,2A,,500
Sand Rock,AL,2A,,500
Section,AL,2A,,500
Sheffield,AL,2A,,500
Southern Choctaw,AL,2A,,500
St. Bernard Prep,AL,2A,,500
St. Luke's Episcopal,AL,2A,,500
Sulligent,AL,2A,,500
Tanner,AL,2A,,500
Tarrant,AL,2A,,500
Thorsby,AL,2A,,500
Verbena,AL,2A,,500
Vincent,AL,2A,,500
Washington County,AL,2A,,500
West End,AL,2A,,500
Westbrook Christian,AL,2A,,500
Winston County,AL,2A,,500
Woodland,AL,2A,,500
Zion Chapel,AL,2A,,500
American Christian Academy,AL,3A,798,600
Bayside Academy,AL,3A,730,600
Beulah,AL,3A,593,600
Brindlee Mountain,AL,3A,365,600
Carbon Hill,AL,3A,436,600
Central of Coosa County,AL,3A,347,600
Clarke County,AL,3A,406,600
Clements,AL,3A,612,600
Colbert County,AL,3A,488,600
Colbert Heights,AL,3A,477,600
Comer,AL,3A,491,600
Cottage Hill Christian Academy,AL,3A,,600
Daleville,AL,3A,,600
East Lawrence,AL,3A,,600
Elkmont,AL,3A,,600
Excel,AL,3A,,600
Flomaton,AL,3A,,600
Fultondale,AL,3A,,600
Geneva,AL,3A,,600
Geraldine,AL,3A,,600
Glencoe,AL,3A,,600
Gordo,AL,3A,,600
Greene County,AL,3A,,600
Hanceville,AL,3A,,600
Hillcrest,AL,3A,,600
Holly Pond,AL,3A,,600
Holy Family Catholic,AL,3A,,600
Houston Academy,AL,3A,,600
Indian Springs,AL,3A,,600
Lauderdale County,AL,3A,,600
Lexington,AL,3A,,600
Locust Fork,AL,3A,,600
Midfield,AL,3A,,600
Mobile Christian,AL,3A,,600
Montevallo,AL,3A,,600
Montgomery Academy,AL,3A,,600
New Hope,AL,3A,,600
North Sand Mountain,AL,3A,,600
Oakman,AL,3A,,600
Ohatchee,AL,3A,,600
Opp,AL,3A,,600
Pennington,AL,3A,,600
Piedmont,AL,3A,,600
Pike County,AL,3A,,600
Pisgah,AL,3A,,600
Plainview,AL,3A,,600
Pleasant Valley,AL,3A,,600
Prattville Christian Academy,AL,3A,,600
Providence Christian,AL,3A,,600
Randolph County,AL,3A,,600
Slocomb,AL,3A,,600
Southside,AL,3A,,600
Straughn,AL,3A,,600
Susan Moore,AL,3A,,600
Sylvania,AL,3A,,600
T.R. Miller,AL,3A,,600
Vinemont,AL,3A,,600
Weaver,AL,3A,,600
Wellborn,AL,3A,,600
West Morgan,AL,3A,,600
Wicksburg,AL,3A,,600
Alabama Christian Academy,AL,4A,954,700
Andalusia,AL,4A,495,700
Anniston,AL,4A,536,700
Ashford,AL,4A,723,700
Ashville,AL,4A,388,700
Bibb County,AL,4A,533,700
Booker T. Washington Magnet,AL,4A,615,700
Bullock County,AL,4A,454,700
Central,AL,4A,,700
Cherokee County,AL,4A,458,700
Childersburg,AL,4A,482,700
Cordova,AL,4A,486,700
Dadeville,AL,4A,462,700
Dale County,AL,4A,,700
Danville,AL,4A,,700
Deshler,AL,4A,,700
Dora,AL,4A,,700
Elmore County,AL,4A,,700
Escambia County,AL,4A,,700
Fayette County,AL,4A,,700
Good Hope,AL,4A,,700
Greensboro,AL,4A,,700
Hale County,AL,4A,,700
Haleyville,AL,4A,,700
Hamilton,AL,4A,,700
Handley,AL,4A,,700
Hokes Bluff,AL,4A,,700
Holt,AL,4A,,700
Holtville,AL,4A,,700
Jacksonville,AL,4A,,700
Kate Duncan Smith DAR,AL,4A,,700
Leeds,AL,4A,,700
Loveless Academic Magnet Program,AL,4A,,700
Madison Academy,AL,4A,,700
Madison County,AL,4A,,700
Monroe County,AL,4A,,700
Montgomery Catholic,AL,4A,,700
Munford,AL,4A,,700
North Jackson,AL,4A,,700
Northside,AL,4A,,700
Oak Grove,AL,4A,,700
Oneonta,AL,4A,,700
Priceville,AL,4A,,700
Randolph,AL,4A,,700
Rogers,AL,4A,,700
Saks,AL,4A,,700
Sardis,AL,4A,,700
Satsuma,AL,4A,,700
Sipsey Valley,AL,4A,,700
St. James,AL,4A,,700
Tallassee,AL,4A,,700
Thomasville,AL,4A,,700
Trinity Presbyterian,AL,4A,,700
UMS-Wright Prep,AL,4A,,700
W.S. Neal,AL,4A,,700
West Blocton,AL,4A,,700
West Limestone,AL,4A,,700
Westminster Christian,AL,4A,,700
White Plains,AL,4A,,700
Wilson,AL,4A,,700
Winfield,AL,4A,,700
Alexandria,AL,5A,1083,800
Arab,AL,5A,867,800
Ardmore,AL,5A,952,800
Beauregard,AL,5A,701,800
Boaz,AL,5A,628,800
Booker T. Washington,AL,5A,615,800
Brewbaker Tech,AL,5A,621,800
Briarwood Christian,AL,5A,588,800
Brooks,AL,5A,778,800
Calera,AL,5A,652,800
Carroll,AL,5A,747,800
Central,AL,5A,,800
Central of Clay County,AL,5A,,800
Charles Henderson,AL,5A,603,800
Citronelle,AL,5A,827,800
Cleburne County,AL,5A,662,800
Corner,AL,5A,521,800
Crossville,AL,5A,513,800
Curry,AL,5A,527,800
Dallas County,AL,5A,602,800
Demopolis,AL,5A,,800
Douglas,AL,5A,,800
East Limestone,AL,5A,,800
Etowah,AL,5A,,800
Eufaula,AL,5A,,800
Fairfield,AL,5A,,800
Fairview,AL,5A,,800
Faith Academy,AL,5A,,800
Greenville,AL,5A,,800
Guntersville,AL,5A,,800
Hayden,AL,5A,,800
Headland,AL,5A,,800
Jackson,AL,5A,,800
"Jemison (Jemison, AL)",AL,5A,,800
"Jemison (Huntsville, AL)",AL,5A,,800
Lawrence County,AL,5A,,800
Lee,AL,5A,,800
Lincoln,AL,5A,,800
Marbury,AL,5A,,800
Moody,AL,5A,,800
Mortimer Jordan,AL,5A,,800
Pleasant Grove,AL,5A,,800
Pope John Paul II,AL,5A,,800
Rehobeth,AL,5A,,800
Russellville,AL,5A,,800
Scottsboro,AL,5A,,800
Shelby County,AL,5A,,800
Springville,AL,5A,,800
St. Clair County,AL,5A,,800
St. Paul's Episcopal,AL,5A,,800
Sumter Central,AL,5A,,800
Sylacauga,AL,5A,,800
Talladega,AL,5A,,800
Valley,AL,5A,,800
Vigor,AL,5A,,800
Wenonah,AL,5A,,800
West Point,AL,5A,,800
Wilcox Central,AL,5A,,800
Williamson,AL,5A,,800
Woodlawn,AL,5A,,800
Albertville,AL,6A,1117,1200
Athens,AL,6A,890,1200
Austin,AL,6A,1383,1200
Baldwin County,AL,6A,1182,1200
Benjamin Russell,AL,6A,974,1200
Bessemer City,AL,6A,,1200
Blount,AL,6A,984,1200
Brewer,AL,6A,900,1200
Brookwood,AL,6A,958,1200
Bryant,AL,6A,863,1200
"Carver (Birmingham, AL)",AL,6A,902,1200
"Carver (Montgomery, AL)",AL,6A,1354,1200
Center Point,AL,6A,,1200
Chelsea,AL,6A,1090,1200
Chilton County,AL,6A,815,1200
Clay-Chalkville,AL,6A,1333,1200
Columbia,AL,6A,,1200
Cullman,AL,6A,867,1200
Daphne,AL,6A,1219,1200
Decatur,AL,6A,956,1200
Dothan,AL,6A,1221,1200
Florence,AL,6A,948,1200
Fort Payne,AL,6A,,1200
Gardendale,AL,6A,1095,1200
Gulf Shores,AL,6A,,1200
Hartselle,AL,6A,,1200
Hazel Green,AL,6A,,1200
Helena,AL,6A,,1200
Hillcrest,AL,6A,,1200
Homewood,AL,6A,,1200
Hueytown,AL,6A,,1200
Jackson-Olin,AL,6A,,1200
John Carroll Catholic,AL,6A,,1200
Lanier,AL,6A,,1200
LeFlore,AL,6A,,1200
McAdory,AL,6A,,1200
Minor,AL,6A,,1200
Muscle Shoals,AL,6A,,1200
Northridge,AL,6A,,1200
Northview,AL,6A,,1200
Opelika,AL,6A,,1200
Oxford,AL,6A,,1200
Park Crossing,AL,6A,,1200
Parker,AL,6A,,1200
Pelham,AL,6A,,1200
Pell City,AL,6A,,1200
Pinson Valley,AL,6A,,1200
Rain,AL,6A,,1200
Ramsay,AL,6A,,1200
Robertsdale,AL,6A,,1200
Russell County,AL,6A,,1200
Saraland,AL,6A,,1200
Selma,AL,6A,,1200
Shades Valley,AL,6A,,1200
Southside,AL,6A,,1200
Spanish Fort,AL,6A,,1200
Stanhope Elmore,AL,6A,,1200
Walker,AL,6A,,1200
Wetumpka,AL,6A,,1200
Auburn,AL,7A,1625,1800
Baker,AL,7A,2518,1800
Bob Jones,AL,7A,1868,1800
Bryant,AL,7A,2671,1800
Buckhorn,AL,7A,1398,1800
Central,AL,7A,,1800
Davidson,AL,7A,1533,1800
Enterprise,AL,7A,1579,1800
Fairhope,AL,7A,1471,1800
Foley,AL,7A,1749,1800
Gadsden City,AL,7A,1559,1800
Grissom,AL,7A,1849,1800
Hewitt-Trussville,AL,7A,1396,1800
Hoover,AL,7A,2770,1800
Huffman,AL,7A,1271,1800
Huntsville,AL,7A,1749,1800
James Clemens,AL,7A,1405,1800
Jefferson Davis,AL,7A,2056,1800
Lee,AL,7A,1707,1800
McGill-Toolen,AL,7A,,1800
Montgomery,AL,7A,,1800
Mountain Brook,AL,7A,,1800
Murphy,AL,7A,,1800
Oak Mountain,AL,7A,,1800
Prattville,AL,7A,,1800
Smiths Station,AL,7A,,1800
Spain Park,AL,7A,,1800
Sparkman,AL,7A,,1800
Theodore,AL,7A,,1800
Thompson,AL,7A,,1800
Tuscaloosa County,AL,7A,,1800
Vestavia Hills,AL,7A,,1800
Abbeville Christian Academy,AL,AISA A,,1
Chambers Academy,AL,AISA A,145,1
Cornerstone Christian,AL,AISA A,,1
Crenshaw Christian Academy,AL,AISA A,224,1
East Memorial Christian Academy,AL,AISA A,269,1
Eastwood Christian,AL,AISA A,354,1
Evangel Christian Academy,AL,AISA A,280,1
Jackson Academy,AL,AISA A,168,1
Marengo Academy,AL,AISA A,193,1
North River Christian,AL,AISA A,151,1
Patrician Academy,AL,AISA A,250,1
South Montgomery County Academy,AL,AISA A,138,1
Southern Academy,AL,AISA A,,1
Sparta Academy,AL,AISA A,,1
Sumter Academy,AL,AISA A,,1
Autauga Academy,AL,AISA AA,259,1
Clarke Prep,AL,AISA AA,253,1
Coosa Valley Academy,AL,AISA AA,252,1
Emmanuel Christian,AL,AISA AA,431,1
Escambia Academy,AL,AISA AA,230,1
Kingwood Christian,AL,AISA AA,363,1
Lowndes Academy,AL,AISA AA,228,1
Macon-East Montgomery Academy,AL,AISA AA,,1
Pickens Academy,AL,AISA AA,246,1
Restoration Academy,AL,AISA AA,268,1
Russell Christian Academy,AL,AISA AA,,1
South Choctaw Academy,AL,AISA AA,,1
Wilcox Academy,AL,AISA AA,,1
Bessemer Academy,AL,AISA AAA,280,1
Edgewood Academy,AL,AISA AAA,,1
Fort Dale Academy,AL,AISA AAA,414,1
Glenwood,AL,AISA AAA,,1
Hooper Academy,AL,AISA AAA,335,1
Lakeside School,AL,AISA AAA,237,1
Lee-Scott Academy,AL,AISA AAA,,1
Monroe Academy,AL,AISA AAA,441,1
Morgan Academy,AL,AISA AAA,473,1
Northside Methodist Academy,AL,AISA AAA,334,1
Pike Liberal Arts,AL,AISA AAA,470,1
Springwood,AL,AISA AAA,273,1
Tuscaloosa Academy,AL,AISA AAA,372,1
Akiuk Memorial,AK,1A,89,200
Alak,AK,1A,153,200
Alakanuk,AK,1A,244,200
Albert,AK,1A,113,200
Alexie,AK,1A,120,200
Allakaket,AK,1A,36,200
Ambler,AK,1A,78,200
Anderson,AK,1A,16,200
Andreafski,AK,1A,,200
Andrews,AK,1A,182,200
Angapak,AK,1A,146,200
Angoon,AK,1A,75,200
Aniak,AK,1A,55,200
Aniguiin,AK,1A,,200
Arctic Village,AK,1A,,200
Arlicaq,AK,1A,,200
Atqasuk,AK,1A,,200
Ayaprun,AK,1A,,200
Birchwood Christian,AK,1A,,200
Blunka,AK,1A,,200
Brevig Mission,AK,1A,,200
Buckland,AK,1A,,200
Chalkyitsik,AK,1A,,200
Chaptnguak,AK,1A,,200
Chief Paul Memorial,AK,1A,,200
Circle,AK,1A,,200
Cook Inlet Academy,AK,1A,,200
Crow Village Sam,AK,1A,,200
Cruikshank,AK,1A,,200
Deering,AK,1A,,200
Demoski,AK,1A,,200
Diomede,AK,1A,,200
Eek,AK,1A,,200
Emmonak,AK,1A,,200
English,AK,1A,,200
Far North,AK,1A,,200
Fort Yukon,AK,1A,,200
Fredson,AK,1A,,200
Gambell,AK,1A,,200
Gustavus,AK,1A,,200
Holy Rosary Academy,AK,1A,,200
Hoonah,AK,1A,,200
Huntington,AK,1A,,200
Hydaburg,AK,1A,,200
Isabell,AK,1A,,200
Kake,AK,1A,,200
Kali,AK,1A,,200
Kaltag,AK,1A,,200
Kangas,AK,1A,,200
Kaveolook,AK,1A,,200
Kenny Lake,AK,1A,,200
Kiana,AK,1A,,200
King Cove,AK,1A,,200
Kingikmiut,AK,1A,,200
Kiunya,AK,1A,,200
Klawock,AK,1A,,200
Klukwan,AK,1A,,200
Kobuk,AK,1A,,200
Kodiak Island Borough,AK,1A,,200
Kokhanok,AK,1A,,200
Koliganek,AK,1A,,200
Kotlik,AK,1A,,200
Kuinerrarmiut Elitnaurviat,AK,1A,,200
Kwethluk,AK,1A,,200
Kwigillingok,AK,1A,,200
Lumen Christi,AK,1A,,200
Malemute,AK,1A,,200
Manokotak,AK,1A,,200
Marshall,AK,1A,,200
McQueen,AK,1A,,200
Miller Memorial,AK,1A,,200
Minto,AK,1A,,200
Morgan,AK,1A,,200
Mountain Village,AK,1A,,200
Nanwalek,AK,1A,,200
Napaaqutgmiut,AK,1A,,200
Nelson Island,AK,1A,,200
Newhalen,AK,1A,,200
Nightmute,AK,1A,,200
Nikolaevsk,AK,1A,,200
Ninilchik,AK,1A,,200
Noorvik,AK,1A,,200
Nuiqsut Trapper,AK,1A,,200
Nunamiut,AK,1A,,200
Nuniwarmiut,AK,1A,,200
Old Harbor,AK,1A,,200
Oldman,AK,1A,,200
Olson,AK,1A,,200
Pelican,AK,1A,,200
Peter,AK,1A,,200
Pilot Station,AK,1A,,200
Port Lions,AK,1A,,200
Qugcuum Memorial,AK,1A,,200
Rocky Mountain,AK,1A,,200
Russian Mission,AK,1A,,200
Sand Point,AK,1A,,200
Scammon Bay,AK,1A,,200
Shaktoolik,AK,1A,,200
Sheldon Point,AK,1A,,200
Shishmaref,AK,1A,,200
Shungnak,AK,1A,,200
Skagway,AK,1A,,200
St. Paul,AK,1A,,200
Tanana,AK,1A,,200
Thorne Bay,AK,1A,,200
Tobeluk,AK,1A,,200
Tukurngailngug,AK,1A,,200
Tuluksak-T-Uupik,AK,1A,,200
Voznesenka,AK,1A,,200
Wasilla Lake Christian,AK,1A,,200
White Mountain,AK,1A,,200
Williams,AK,1A,,200
Yakutat,AK,1A,,200
Bristol Bay,AK,2A,68,300
Chevak,AK,2A,320,300
Craig,AK,2A,,300
Davis-Romoth,AK,2A,,300
Degnan,AK,2A,,300
Dillingham,AK,2A,270,300
Glennallen,AK,2A,137,300
Haines,AK,2A,85,300
Hooper Bay,AK,2A,421,300
Kokrine Charter,AK,2A,169,300
Kuskokwim Learning Academy,AK,2A,78,300
Metlakatla,AK,2A,73,300
Nenana,AK,2A,204,300
Northway,AK,2A,47,300
Savoonga,AK,2A,223,300
Susitna Valley,AK,2A,165,300
Tikigaq,AK,2A,234,300
Togiak,AK,2A,216,300
Tok,AK,2A,150,300
Tri-Valley,AK,2A,176,300
Unalaska,AK,2A,191,300
Wrangell,AK,2A,84,300
Anchorage Christian,AK,3A,535,400
Barrow,AK,3A,206,400
Bethel,AK,3A,522,400
Cordova,AK,3A,144,400
Delta,AK,3A,,400
Eielson,AK,3A,398,400
Galena,AK,3A,215,400
Grace Christian,AK,3A,575,400
Homer,AK,3A,398,400
Houston,AK,3A,380,400
Hutchison,AK,3A,363,400
Kotzebue,AK,3A,297,400
Monroe Catholic,AK,3A,,400
Mt. Edgecumbe,AK,3A,405,400
Nikiski,AK,3A,402,400
Nome-Beltz,AK,3A,256,400
Petersburg,AK,3A,140,400
Seward,AK,3A,177,400
Sitka,AK,3A,330,400
Valdez,AK,3A,184,400
Bartlett,AK,4A,1612,1200
Chugiak,AK,4A,1104,1200
Colony,AK,4A,1100,1200
Dimond,AK,4A,1647,1200
Eagle River,AK,4A,827,1200
East,AK,4A,2139,1200
Juneau-Douglas,AK,4A,669,1200
Kenai Central,AK,4A,540,1200
Ketchikan,AK,4A,587,1200
Kodiak,AK,4A,761,1200
Lathrop,AK,4A,1075,1200
North Pole,AK,4A,750,1200
Palmer,AK,4A,794,1200
Service,AK,4A,1748,1200
Soldotna,AK,4A,555,1200
South,AK,4A,1448,1200
Thunder Mountain,AK,4A,691,1200
Wasilla,AK,4A,1215,1200
West,AK,4A,1842,1200
West Valley,AK,4A,969,1200
Academy of Tucson,AZ,1A,156,200
Ajo,AZ,1A,124,200
Anthem Prep,AZ,1A,,200
Arizona Charter Academy,AZ,1A,,200
Arizona School for the Deaf & Blind,AZ,1A,,200
Ash Fork,AZ,1A,78,200
Baboquivari,AZ,1A,201,200
Bagdad,AZ,1A,125,200
Basis,AZ,1A,,200
Bowie/San Simon,AZ,1A,146,200
Cibecue,AZ,1A,,200
Duncan,AZ,1A,,200
El Capitan,AZ,1A,,200
Fort Thomas,AZ,1A,207,200
Fredonia,AZ,1A,108,200
Grand Canyon,AZ,1A,79,200
Greyhills Academy,AZ,1A,,200
Hayden,AZ,1A,86,200
Immaculate Heart,AZ,1A,,200
Joseph City,AZ,1A,111,200
Lourdes Catholic,AZ,1A,,200
Mayer,AZ,1A,,200
Mogollon,AZ,1A,,200
NFL Yet Academy,AZ,1A,,200
North Phoenix Preparatory Academy,AZ,1A,,200
Patagonia,AZ,1A,,200
Phoenix Day School for the Deaf,AZ,1A,,200
Ray,AZ,1A,,200
Red Mesa,AZ,1A,,200
Rock Point,AZ,1A,,200
Rough Rock,AZ,1A,,200
Salome,AZ,1A,,200
San Pasqual Valley,AZ,1A,,200
Seligman,AZ,1A,,200
Shonto Prep,AZ,1A,,200
St. David,AZ,1A,,200
St. Michael,AZ,1A,,200
Superior,AZ,1A,,200
Telesis Prep,AZ,1A,,200
The Gregory School,AZ,1A,,200
Tohono O'Odham,AZ,1A,,200
Valley Lutheran,AZ,1A,,200
Valley Union,AZ,1A,,200
Williams,AZ,1A,,200
Alchesay,AZ,2A,516,400
Antelope,AZ,2A,293,400
Arete Prep,AZ,2A,,400
Arizona College Prep,AZ,2A,160,400
Arizona Lutheran Academy,AZ,2A,183,400
Benson,AZ,2A,375,400
Bisbee,AZ,2A,,400
Bourgade Catholic,AZ,2A,402,400
Camp Verde,AZ,2A,424,400
Chandler Prep,AZ,2A,,400
Desert Christian,AZ,2A,367,400
Gilbert Christian,AZ,2A,,400
Gilbert Classical Academy,AZ,2A,242,400
Glendale Prep Academy,AZ,2A,399,400
Hopi,AZ,2A,,400
Horizon Honors,AZ,2A,,400
Joy Christian,AZ,2A,,400
Kingman Academy,AZ,2A,411,400
Many Farms,AZ,2A,,400
Miami,AZ,2A,,400
Mohave Accelerated,AZ,2A,,400
Morenci,AZ,2A,382,400
Northland Prep Academy,AZ,2A,,400
Paradise Honors,AZ,2A,404,400
Parker,AZ,2A,487,400
Phoenix Christian,AZ,2A,,400
Phoenix Country Day,AZ,2A,,400
Pima,AZ,2A,,400
Pinon,AZ,2A,,400
Rancho Solano Prep,AZ,2A,,400
Red Rock,AZ,2A,,400
Round Valley,AZ,2A,,400
San Carlos,AZ,2A,,400
San Manuel,AZ,2A,,400
San Miguel,AZ,2A,,400
San Tan Foothills,AZ,2A,,400
Santa Cruz Valley,AZ,2A,,400
Scottsdale Christian Academy,AZ,2A,,400
Scottsdale Preparatory Academy,AZ,2A,,400
St. Augustine Catholic,AZ,2A,,400
St. Johns,AZ,2A,,400
Tempe Prep,AZ,2A,,400
Thatcher,AZ,2A,,400
Tombstone,AZ,2A,,400
Tonopah Valley,AZ,2A,,400
Trivium Prep,AZ,2A,,400
Valley,AZ,2A,,400
Veritas Prep,AZ,2A,,400
Willcox,AZ,2A,,400
American Leadership Academy,AZ,3A,,800
ASU Prep,AZ,3A,339,800
Benjamin Franklin,AZ,3A,490,800
Blue Ridge,AZ,3A,744,800
Casteel,AZ,3A,,800
Catalina,AZ,3A,1008,800
Chinle,AZ,3A,993,800
Chino Valley,AZ,3A,737,800
Coolidge,AZ,3A,671,800
Empire,AZ,3A,757,800
Florence,AZ,3A,,800
Fountain Hills,AZ,3A,649,800
Ganado,AZ,3A,531,800
Globe,AZ,3A,572,800
Holbrook,AZ,3A,716,800
Kingman,AZ,3A,1546,800
Monument Valley,AZ,3A,699,800
North Pointe Prep,AZ,3A,891,800
Northwest Christian,AZ,3A,,800
Odyssey Institute,AZ,3A,823,800
Page,AZ,3A,883,800
Payson,AZ,3A,722,800
Pusch Ridge Christian Academy,AZ,3A,473,800
River Valley,AZ,3A,748,800
Sabino,AZ,3A,1053,800
Safford,AZ,3A,881,800
Sahuarita,AZ,3A,899,800
Santa Rita,AZ,3A,,800
Show Low,AZ,3A,,800
Snowflake,AZ,3A,,800
Tanque Verde,AZ,3A,,800
Tuba City,AZ,3A,,800
Valley Christian,AZ,3A,,800
Wickenburg,AZ,3A,,800
Window Rock,AZ,3A,,800
Winslow,AZ,3A,,800
Yuma Catholic,AZ,3A,,800
Amphitheater,AZ,4A,1171,1500
Apache Junction,AZ,4A,1356,1500
Bradshaw Mountain,AZ,4A,1621,1500
Buckeye,AZ,4A,1285,1500
Cactus,AZ,4A,1379,1500
Cactus Shadows,AZ,4A,1709,1500
Canyon del Oro,AZ,4A,1630,1500
Casa Grande,AZ,4A,1486,1500
Catalina Foothills,AZ,4A,1681,1500
Coconino,AZ,4A,1389,1500
Combs,AZ,4A,1233,1500
Coronado,AZ,4A,1072,1500
Cortez,AZ,4A,1156,1500
Douglas,AZ,4A,1286,1500
Dysart,AZ,4A,1618,1500
Estrella Foothills,AZ,4A,1000,1500
Flagstaff,AZ,4A,1538,1500
Gila Ridge,AZ,4A,1809,1500
Greenway,AZ,4A,1510,1500
Higley,AZ,4A,1680,1500
Lee Williams,AZ,4A,,1500
Marcos de Niza,AZ,4A,1649,1500
Metro Tech,AZ,4A,1691,1500
Mingus,AZ,4A,1247,1500
Mohave,AZ,4A,,1500
Moon Valley,AZ,4A,,1500
Nogales,AZ,4A,,1500
Palo Verde,AZ,4A,,1500
Peoria,AZ,4A,,1500
Prescott,AZ,4A,,1500
Pueblo,AZ,4A,,1500
Rio Rico,AZ,4A,,1500
Saguaro,AZ,4A,,1500
Salpointe Catholic,AZ,4A,,1500
Seton Catholic,AZ,4A,,1500
Shadow Mountain,AZ,4A,,1500
St. Mary's,AZ,4A,,1500
Sunrise Mountain,AZ,4A,,1500
Tempe,AZ,4A,,1500
Thunderbird,AZ,4A,,1500
Walden Grove,AZ,4A,,1500
Washington,AZ,4A,,1500
Youngker,AZ,4A,,1500
Yuma,AZ,4A,,1500
Agua Fria,AZ,5A,1693,2000
Apollo,AZ,5A,2006,2000
Arcadia,AZ,5A,1736,2000
Buena,AZ,5A,2155,2000
Camelback,AZ,5A,2012,2000
Campo Verde,AZ,5A,2106,2000
Carl Hayden Community,AZ,5A,2063,2000
Centennial,AZ,5A,2091,2000
Chaparral,AZ,5A,2064,2000
Cholla,AZ,5A,1665,2000
Cienega,AZ,5A,1853,2000
Deer Valley,AZ,5A,1867,2000
Desert Edge,AZ,5A,1630,2000
Desert View,AZ,5A,2087,2000
Fairfax,AZ,5A,1909,2000
Flowing Wells,AZ,5A,1659,2000
Glendale,AZ,5A,,2000
Goldwater,AZ,5A,1864,2000
Independence,AZ,5A,1983,2000
Ironwood,AZ,5A,1988,2000
Ironwood Ridge,AZ,5A,1930,2000
Kellis,AZ,5A,1833,2000
Lake Havasu,AZ,5A,1888,2000
Liberty,AZ,5A,2087,2000
Marana,AZ,5A,1982,2000
Maricopa,AZ,5A,,2000
McClintock,AZ,5A,1832,2000
Mesquite,AZ,5A,2016,2000
Mountain View,AZ,5A,,2000
North Canyon,AZ,5A,1962,2000
Notre Dame Prep,AZ,5A,887,2000
Paradise Valley,AZ,5A,1771,2000
Poston Butte,AZ,5A,,2000
Queen Creek,AZ,5A,,2000
Sahuaro,AZ,5A,,2000
Shadow Ridge,AZ,5A,,2000
Sierra Linda,AZ,5A,,2000
